,Gender,Race,Year,pct,CrimeType,Arrested,Frisked,Searched,HandCuff,PepperSpray,Firearm,Other,CEW,Stopped,Verbal,Summons
39283,Male,Hispanic,2005,13,Weapon,0,1,0,0,0,0,0,0,1,0,0
715,Male,Black,2005,14,Assault,1,2,1,1,0,0,2,0,3,0,0
716,Male,Hispanic,2005,14,Assault,0,2,1,1,0,0,2,0,3,0,0
8025,Female,Black,2005,14,Other,0,0,0,0,0,0,0,0,1,0,1
8026,Male,Black,2005,14,Other,0,2,0,1,0,0,1,0,25,0,0
8027,Unknown,Black,2005,14,Other,0,0,0,0,0,0,0,0,2,0,0
8028,Male,Hispanic,2005,14,Other,0,2,0,0,0,0,2,0,4,0,0
8029,Male,Other,2005,14,Other,0,0,0,0,0,0,1,0,1,0,1
8030,Male,White,2005,14,Other,0,0,0,0,0,0,0,0,3,0,0
15376,Male,Black,2005,14,Substance,0,0,0,0,0,0,0,0,7,0,0
15377,Male,Hispanic,2005,14,Substance,0,1,0,1,0,0,1,0,1,0,0
15378,Unknown,Other,2005,14,Substance,0,1,0,0,0,0,1,0,2,0,0
15379,Male,White,2005,14,Substance,0,1,0,0,0,0,0,0,5,0,0
22781,Female,Black,2005,14,Theft,1,0,0,0,0,0,1,0,3,0,0
22782,Male,Black,2005,14,Theft,1,14,2,1,0,0,8,0,29,0,0
22783,Female,Hispanic,2005,14,Theft,0,0,0,0,0,0,0,0,2,0,0
22784,Male,Hispanic,2005,14,Theft,0,6,0,0,0,0,2,0,9,0,0
22785,Male,Other,2005,14,Theft,0,0,0,0,0,0,0,0,1,0,0
22786,Female,White,2005,14,Theft,0,0,0,0,0,0,0,0,1,0,0
22787,Male,White,2005,14,Theft,0,0,0,0,0,0,0,0,2,0,0
32370,Male,Black,2005,14,Tresspass,0,0,0,0,0,0,0,0,3,0,0
39391,Female,Black,2005,14,Weapon,0,0,0,0,0,0,0,0,2,0,0
39392,Male,Black,2005,14,Weapon,0,7,1,0,0,1,4,0,7,0,0
39393,Male,Hispanic,2005,14,Weapon,0,5,1,0,0,0,3,0,6,0,0
39394,Male,Other,2005,14,Weapon,0,0,0,0,0,0,0,0,1,0,0
828,Male,Hispanic,2005,17,Assault,0,0,0,0,0,0,0,0,1,0,0
829,Male,White,2005,17,Assault,0,1,0,0,0,0,0,0,1,0,0
